feature1,feature2,label
-0.565906,-0.677441,0
-1.699988,0.162238,0
0.435832,0.135614,0
-2.480953,-1.412869,0
0.302233,0.893122,0
0.863888,0.266956,0
0.766958,-1.463124,0
2.553990,1.712621,0
1.135665,1.401182,0
1.974979,0.216304,0
-1.772724,-1.887074,0
0.717181,-0.955143,0
0.643153,0.717524,0
1.280087,1.603728,0
0.943498,0.537490,0
-0.266086,1.854844,0
0.614921,-0.633175,0
-0.376886,-1.730691,0
0.836074,-1.452115,0
1.610832,1.705335,0
-1.054232,-0.775777,0
0.320012,-0.046868,0
2.323524,1.321961,0
0.000140,1.198446,0
0.550300,-1.492172,0
-0.202678,-0.623007,0
0.532155,1.183029,0
-1.862725,-0.658288,0
1.262716,0.811354,0
-0.980503,0.203651,0
0.726125,0.457675,0
2.110036,0.585536,0
-1.819497,-0.136792,0
-0.473457,0.701926,0
-0.104490,-0.827430,0
-1.337279,0.512990,0
-0.837300,1.003198,0
2.932330,3.629813,0
0.056028,-0.287391,0
1.003658,-1.329540,0
0.083104,0.481277,0
-1.623392,-2.081230,0
1.331636,0.656507,0
-1.372527,-0.890246,0
0.396940,0.947060,0
-0.672978,0.478793,0
1.095300,0.636395,0
1.335007,-0.430606,0
-0.531377,-0.193015,0
0.125871,-0.150102,0
2.072652,1.430287,0
0.897483,-0.083630,0
-0.019107,0.440437,0
-2.544090,-2.143006,0
-0.291871,-0.352950,0
2.502707,2.272768,0
-1.469390,1.440211,0
0.079079,0.414587,0
0.705103,-0.675984,0
-1.906407,-0.901783,0
-0.511947,-1.501909,0
-1.026955,-2.534025,0
-1.998098,0.644509,0
1.604113,0.834061,0
0.155175,-0.427941,0
1.971745,1.891988,0
1.109805,1.558016,0
0.316614,2.048278,0
1.197415,0.736703,0
-0.359521,-1.726072,0
-1.033214,0.531038,0
1.979854,2.031023,0
-0.778537,0.169890,0
2.349562,0.665086,0
-0.844454,-0.440358,0
-0.520452,-0.086164,0
0.750485,0.953821,0
0.023508,-0.788133,0
-2.686653,-1.934957,0
1.173715,1.824220,0
0.819133,1.645923,0
-1.038605,-1.885951,0
-1.482189,-0.895896,0
-2.137176,0.183653,0
0.743880,-0.169940,0
1.614066,0.560381,0
-0.092727,0.301397,0
-0.825950,0.177683,0
-0.837849,0.876743,0
-1.193285,1.985508,0
-0.327049,-1.272572,0
1.115925,1.573713,0
-0.113560,0.704875,0
-0.572428,-0.609266,0
1.953511,0.080312,0
0.095202,1.058382,0
0.426047,-1.020107,0
-0.442170,0.029927,0
1.059114,1.148783,0
0.570109,-0.771055,0
2.926418,3.816373,1
2.349130,4.992891,1
4.095707,0.764176,1
2.698904,3.957108,1
4.919528,6.438165,1
3.042722,4.481524,1
2.242561,4.549717,1
3.898247,3.211781,1
3.807039,1.960724,1
3.660220,2.518649,1
-1.130722,4.198157,1
1.070927,2.568258,1
4.313235,3.281974,1
2.202996,2.270975,1
4.344731,2.705934,1
4.055509,2.344967,1
2.509762,2.566728,1
0.745809,5.865990,1
5.651526,0.876308,1
4.392886,2.894145,1
3.912814,2.029438,1
2.945530,4.207419,1
4.275587,1.410622,1
3.158254,1.983986,1
1.065931,5.273073,1
5.184116,2.273525,1
1.038064,6.137796,1
4.574230,0.942932,1
0.948155,3.889394,1
2.961270,4.071381,1
4.117286,1.920317,1
6.364038,-1.381926,1
2.485357,1.790682,1
0.011489,3.760845,1
3.636158,2.605585,1
0.246238,3.543078,1
1.555096,4.306946,1
4.532324,2.246951,1
2.352372,2.776367,1
2.656621,2.791662,1
3.298687,3.618811,1
0.197303,3.851928,1
-0.960454,3.932239,1
3.580712,3.267600,1
2.235162,2.851185,1
2.931870,2.401181,1
4.300615,2.972941,1
2.093585,2.883939,1
2.081613,4.233264,1
2.404240,4.375882,1
3.662083,1.657700,1
2.473265,4.288327,1
3.104118,3.063833,1
1.011947,3.987675,1
2.182711,3.460908,1
4.002447,3.573292,1
2.510865,4.526541,1
1.384640,4.473926,1
1.942525,3.531246,1
2.508863,3.265414,1
3.274765,3.550590,1
5.412785,3.640758,1
3.448057,0.973985,1
2.081109,4.881952,1
2.638950,4.164089,1
2.418546,2.319604,1
2.455029,2.581507,1
1.685178,3.980010,1
3.816534,1.839047,1
2.109715,3.042394,1
4.188258,2.262592,1
2.357111,2.896956,1
3.742219,2.646242,1
3.871246,0.336547,1
3.754711,2.038839,1
3.593184,4.443588,1
1.823210,3.839227,1
2.356979,2.233816,1
2.831127,2.764828,1
2.047056,2.745818,1
3.371201,4.719069,1
3.402908,3.177003,1
1.871811,3.472812,1
2.728692,3.259685,1
2.363986,2.534718,1
3.300614,3.397423,1
1.826855,5.333835,1
-0.197664,4.835082,1
2.033218,4.110683,1
-0.270604,4.845561,1
3.649393,1.616581,1
5.301106,0.236778,1
4.047474,2.263743,1
3.821253,4.775878,1
1.430122,3.633021,1
4.448446,2.361929,1
5.865796,2.886086,1
1.215940,3.968898,1
6.038535,2.092309,1
3.966191,3.791824,1
4.591330,0.773530,1
3.024701,3.040767,1
3.975953,2.960058,1
4.237773,1.701590,1
3.192001,3.516639,1
1.363887,2.959250,1
5.764429,2.235670,1
2.087451,2.815048,1
1.140985,4.818708,1
1.573059,4.367535,1
1.595470,6.606339,1
3.956889,3.443825,1
3.104764,4.737912,1
4.660566,2.431886,1
0.509324,2.875489,1
3.120553,0.162935,1
3.813456,3.232230,1
1.174231,4.733304,1
0.049507,3.793787,1
5.088998,1.055917,1
2.498915,3.404736,1
5.521042,0.624288,1
5.073450,2.040416,1
1.917372,2.711130,1
2.936889,1.638910,1
3.713466,3.639712,1
4.565483,2.273407,1
3.134481,1.818508,1
2.445071,2.111190,1
2.894318,1.491434,1
0.571338,5.220951,1
4.015619,2.377354,1
2.993233,2.710327,1
2.737274,4.248946,1
3.279142,1.979521,1
1.812340,0.982277,1
5.800135,2.323088,1
0.781338,4.652505,1
2.487420,3.875336,1
-0.098061,7.271258,1
2.524147,2.147081,1
5.140276,1.356663,1
2.998078,1.098276,1
3.087661,1.474072,1
1.480683,5.539779,1
3.994220,4.090784,1
2.330623,2.446439,1
1.457448,5.101889,1
4.167967,1.699884,1
3.173172,0.994362,1
3.113965,5.453425,1
5.119926,1.856014,1
3.488074,1.911218,1
3.164733,1.696252,1
2.386800,2.436755,1
2.629039,3.264791,1
2.694629,2.058701,1
4.222241,2.917005,1
1.724676,2.833179,1
3.375753,3.669289,1
5.444909,1.538897,1
4.206490,2.683789,1
2.752224,0.806243,1
5.063267,1.217641,1
2.074412,2.618167,1
1.097961,2.478745,1
2.277059,2.026324,1
3.845061,2.307070,1
3.818099,1.753104,1
1.360401,3.695440,1
1.205661,3.094090,1
3.297514,4.663006,1
5.554793,-0.353158,1
2.144734,3.493758,1
2.135090,2.965800,1
2.788393,2.981050,1
1.711734,4.493552,1
2.304720,3.071078,1
3.320884,2.133889,1
2.227711,3.127816,1
4.018632,4.865851,1
1.695946,3.730857,1
1.229401,4.038622,1
4.873272,-0.025811,1
5.101098,0.648987,1
4.091964,4.266271,1
2.446254,3.202398,1
0.494279,2.283499,1
3.218617,3.836000,1
5.606058,2.198186,1
2.301336,3.069542,1
3.720418,5.394130,1
2.938103,3.387602,1
3.008107,1.855372,1
1.394325,3.291425,1
2.593004,2.725016,1
2.624109,3.782989,1
1.365880,3.780038,1
2.685874,1.971247,1
3.805441,2.784048,1
1.441919,3.160388,1
2.816268,4.978739,1
3.732209,4.856413,1
3.137958,1.210763,1
6.214945,2.124687,1
2.146338,3.689673,1
1.902048,2.476438,1
0.033471,5.828111,1
3.346155,3.661492,1
2.548566,3.703684,1
4.300128,2.467310,1
1.545903,6.102095,1
0.671596,4.399846,1
4.151439,1.801069,1
3.658168,3.875301,1
6.129576,2.245938,1
2.913298,2.506294,1
3.162578,0.639742,1
2.021387,3.974024,1
3.748641,0.596692,1
4.529102,3.865089,1
2.324290,1.593089,1
3.125324,2.522836,1
6.329794,-0.052972,1
3.751250,3.259353,1
1.441620,5.902532,1
2.599673,1.877414,1
-0.172349,5.918642,1
2.966570,2.997634,1
2.656766,3.114007,1
3.352270,1.952826,1
2.679462,2.559614,1
3.960465,2.282781,1
4.318493,3.832731,1
7.034527,0.849722,1
